ASEAN,   ***   ,ASEAN  Association of Southeast Asian Nations,,,,
przemysł naftowy,   ***   ,petroleum industry,,,,
przemysł napojów,   ***   ,beverage industry,,,,
przemysł odzieżowy,   ***   ,textile industry,,,,
przemysł odzieżowy,   ***   ,clothing industry,,,,
przemysł opakowań,   ***   ,packing industry,,,,
przemysł papierniczy,   ***   ,paper industry,,,,
przemysł petrochemiczny,   ***   ,petrochemical industry,,,,
przemysł rolno,   ***   ,spożywczy,agroindustry,,,
przemysł rolno,   ***   ,spożywczy,agri,foodstuff,,
przemysł rybny,   ***   ,fishing industry,,,,
przemysł rzemieślniczy,   ***   ,handicraft business,,,,
przemysł samochodowy,   ***   ,automobile industry,,,,
przemysł samochodowy,   ***   ,motor vehicle industry,,,,
przemysł skórzany,   ***   ,leather industry,,,,
przemysł spożywczy,   ***   ,food industry,,,,
przemysł szklarski,   ***   ,glass industry,,,,
przemysł tłuszczowy,   ***   ,oil and fat industry,,,,
przemysł wydobywczy,   ***   ,extractive industry,,,,
przemysł wyrobów żelaznych,   ***   ,ironwork industry,,,,
przemysł węglowy,   ***   ,coal industry,,,,
przenawożenie,   ***   ,overfertilisation,,,,
przenikanie,   ***   ,infiltration,,,,
przepis,   ***   ,regulation,,,,
przepuszczalność,   ***   ,permeability,,,,
przepływ,   ***   ,flow,,,,
przesiedlenie,   ***   ,rehousing,,,,
przesiedleńcy,   ***   ,displaced person,,,,
przestarzały,   ***   ,obsolete,,,,
przestrzeń,   ***   ,space  space  space (interplanetary)  interplanetary space,,,,
przestrzeń życiowa,   ***   ,living space,,,,
przestępczość,   ***   ,criminality,,,,
przestępstwo,   ***   ,crime,,,,
przeszkoda,   ***   ,obstacle  obstruction,,,,
przetwarzanie,   ***   ,processing,,,,
przewodnictwo,   ***   ,conductivity  electrical conductivity,,,,
przewód,   ***   ,cable,,,,
przezimowanie,   ***   ,overwintering,,,,
przyciągać,   ***   ,attract,,,,
przyimek,   ***   ,preposition,,,,
przyjazd,   ***   ,arrival,,,,
przyjęcie,   ***   ,acceptance  credence,,,,
przykrycie,   ***   ,covering  roofing,,,,
przylądek,   ***   ,headland,,,,
przymiotnik,   ***   ,adjective  describing word,,,,
przyrodoznawstwo,   ***   ,life science,,,,
przyspieszenie,   ***   ,acceleration,,,,
przystań,   ***   ,marina,,,,
przystosować,   ***   ,arrange  adapt  adjust  conform  accommodate  suit,,,,
przyswajalność biologiczna,   ***   ,bio,availability,,,
przyswajać,   ***   ,assimilate,,,,
przywiązanie,   ***   ,attachment,,,,
przywiązany,   ***   ,attached,,,,
przyłowy,   ***   ,by,catch,,,
próchnica,   ***   ,humus,,,,
prąd,   ***   ,electricity,,,,
prędkość,   ***   ,speed,,,,
pręgowce,   ***   ,chipmunk,,,,
psowate,   ***   ,canid,,,,
pstrąg,   ***   ,trout,,,,
psychologia,   ***   ,psychology,,,,
pszczelarstwo,   ***   ,apiculture  beekeeping,,,,
pszczelarz,   ***   ,beekeeper  apiculturist,,,,
pszczoły,   ***   ,bee,,,,
ptak śpiewający,   ***   ,songbird,,,,
ptaki,   ***   ,bird,,,,
ptaszarnia,   ***   ,aviary,,,,
punkt,   ***   ,point,,,,
puryny,   ***   ,purin,,,,
pusty,   ***   ,empty,,,,
pustynia,   ***   ,desert,,,,
pustynnienie,   ***   ,desertification,,,,
puzon,   ***   ,trombone,,,,
pytanie,   ***   ,question,,,,
pył,   ***   ,dust,,,,
pył zawieszony,   ***   ,atmospheric particulate,,,,
pyłek,   ***   ,pollen,,,,
półmetal,   ***   ,semi,metal,,,
półprodukt,   ***   ,intermediate goods,,,,
półprzewodnik,   ***   ,semiconductor,,,,
półwysep,   ***   ,peninsula,,,,
pęcherz,   ***   ,blister,,,,
pęcherzyk żółciowy,   ***   ,gallbladder,,,,
pępek,   ***   ,belly button  bellybutton  navel  omphalos  omphalus  umbilicus,,,,
płaca,   ***   ,salary,,,,
płaszczyzna,   ***   ,plane,,,,
płazy,   ***   ,amphibian,,,,
płetwonogie,   ***   ,pinniped,,,,
płeć,   ***   ,sex  gender,,,,
płodozmian,   ***   ,crop rotation,,,,
płuco,   ***   ,lung,,,,
płóg,   ***   ,plough,,,,
rabat,   ***   ,discount,,,,
rabin,   ***   ,rabbi,,,,
rachunek,   ***   ,account,,,,
rachunkowść księgowa,   ***   ,management accounting,,,,
rad,   ***   ,radium,,,,
rada,   ***   ,advice,,,,
radar,   ***   ,radar,,,,
radio,   ***   ,radio,,,,
radioaktywność,   ***   ,radioactivity  radioactive decay,,,,
radiologia,   ***   ,radiology,,,,
radiologia,   ***   ,radiation physics,,,,
radionuklid,   ***   ,radionuclide,,,,
radon,   ***   ,radon,,,,
rafa,   ***   ,reef,,,,
rafinacja,   ***   ,refining,,,,
rafineria,   ***   ,refinery,,,,
rak,   ***   ,cancer,,,,
rakotwórczość,   ***   ,carcinogenicity,,,,
rana,   ***   ,wound,,,,
raport środowiskowy (eko,   ***   ,audyt),environmental statement (eco,audit)  environmetal staeent  eo,audit,
raster,   ***   ,raster,,,,
ratownik,   ***   ,lifeguard,,,,
razem,   ***   ,together,,,,
reaktor,   ***   ,reactor,,,,
recykling,   ***   ,recycling,,,,
referendum,   ***   ,referendum  plebiscite,,,,
reflektometria,   ***   ,reflectometry,,,,
regeneracja,   ***   ,regeneration,,,,
region,   ***   ,region,,,,
regulować,   ***   ,adjust,,,,
rehabilitacja,   ***   ,rehabilitation,,,,
reintrodukcja,   ***   ,reintroduction,,,,
rejestracja,   ***   ,registration,,,,
rejestrowanie,   ***   ,registration proceeding,,,,
rekin,   ***   ,shark,,,,
reklama,   ***   ,advertisement  promotion,,,,
rekomendacje,   ***   ,recommendation,,,,
rekompensata,   ***   ,redress,,,,
"relacje ""Północ  -  Południe""	North  -  South relationship",   ***   ,,,,,
religia,   ***   ,religion,,,,
ren,   ***   ,rhenium,,,,
renaturyzacja,   ***   ,renaturation,,,,
renifer,   ***   ,reindeer,,,,
represja,   ***   ,repression,,,,
reprezentowanie,   ***   ,representation,,,,
reprodukcja (biologia),   ***   ,reproduction,,,,
resorpcja,   ***   ,resorption,,,,
rezerwat,   ***   ,reserve,,,,
rezerwat łowiecki,   ***   ,hunting reserve,,,,
rezolucja,   ***   ,resolution,,,,
rod,   ***   ,rhodium,,,,
rodzajnik,   ***   ,article,,,,
rodzina,   ***   ,family,,,,
rodzić,   ***   ,deliver,,,,
roetgen,   ***   ,roetgen  roentgenroentgenium,,,,
rok,   ***   ,year  solar year,,,,
rolnictwo,   ***   ,agriculture,,,,
rolnictwo,   ***   ,agriculture  agriculture,,,,
romb,   ***   ,rhombus  rhomb,,,,
rondelek,   ***   ,kettle,,,,
ropień,   ***   ,abscess,,,,
ropucha,   ***   ,toad,,,,
rosyjski,   ***   ,Russian  Russian,,,,
rower,   ***   ,bicycle  bike  cycle,,,,
rozdrabnianie,   ***   ,grinding,,,,
rozdział,   ***   ,chapter,,,,
rozdzielczość,   ***   ,resolution  resolution (parameter),,,,
rozejm,   ***   ,armistice,,,,
rozkładanie (się),   ***   ,decomposition,,,,
rozmieszczenie,   ***   ,allocation  allotment  resource allotment,,,,
rozporządzenie,   ***   ,decree,,,,
rozporządzenie,   ***   ,ordinance,,,,
rozpraszanie,   ***   ,dispersion,,,,
rozprzestrzenianie (się),   ***   ,diffusion,,,,
rozpuszczalnik,   ***   ,solvent,,,,
rozpuszczalność,   ***   ,solubility,,,,
rozpuszczanie (się),   ***   ,dissolution,,,,
roztocze,   ***   ,mite,,,,
rozwielitka,   ***   ,water flea,,,,
rozwód,   ***   ,divorce,,,,
rozwój środowiskowy,   ***   ,environmental development,,,,
roślina,   ***   ,plant,,,,
roślina żywiczna,   ***   ,resinous plant,,,,
rtęć,   ***   ,mercury,,,,
rubid,   ***   ,rubidium,,,,
rubin,   ***   ,ruby,,,,
ruch,   ***   ,traffic,,,,
ruda,   ***   ,ore,,,,
rumuński,   ***   ,Romanian  Romanaian,,,,
rura,   ***   ,pipe,,,,
rurociąg,   ***   ,pipeline,,,,
ruten,   ***   ,ruthenium,,,,
rutherford,   ***   ,rutherfordium,,,,
ryba,   ***   ,fish,,,,
rybactwo śródlądowe,   ***   ,inland fishery,,,,
rybołówstwo,   ***   ,fishery,,,,
rynek,   ***   ,market  marketplace,,,,
ryzyko środowiskowe,   ***   ,environmental risk,,,,
ryż,   ***   ,rice,,,,
rzeczownik,   ***   ,noun  substantive,,,,
rzeczywistość,   ***   ,reality,,,,
rzeczączka,   ***   ,gonorrhea,,,,
rzeka,   ***   ,river,,,,
rzemiosło,   ***   ,craft  arts and crafts,,,,
rzemiosło,   ***   ,handicraft,,,,
rzepak,   ***   ,rape,,,,
rzeźnia,   ***   ,slaughterhouse  slaughter,house  abattoir  butchery  shambles,,,
rzeźnia,   ***   ,slaughter,house,,,
rzeźnik,   ***   ,butcher,,,,
rów,   ***   ,ditch,,,,
równanie,   ***   ,equation,,,,
równik,   ***   ,equator,,,,
równina,   ***   ,plain,,,,
równowaga,   ***   ,balance,,,,
róża,   ***   ,rose,,,,
różaniec,   ***   ,rosary,,,,
różnorodność biologiczna,   ***   ,biodiversity,,,,
sadza,   ***   ,soot,,,,
sadzawka,   ***   ,pool  puddle  puddle,,,,
sadzonki,   ***   ,cutting  cutting (vegetative propagation),,,,
sahara,   ***   ,sahara,,,,
saksofon,   ***   ,saxophone,,,,
samar,   ***   ,samarium,,,,
samobójstwo,   ***   ,suicide,,,,
samochód,   ***   ,auto  automobilcar  automobile,,,,
samochód,   ***   ,cysterna,tanker,,,
samochód,   ***   ,śmieciarka,refuse collection vehicle,,,
samogłoska,   ***   ,vowel,,,,
samolot,   ***   ,aeroplane  bird  plane,,,,
sanitariat,   ***   ,sanitary fitting,,,,
sanskryt,   ***   ,Sanskrit  Sanskrit,,,,
sardynka,   ***   ,sardine,,,,
satelita,   ***   ,satellite,,,,
scena,   ***   ,stage,,,,
seaborg,   ***   ,seaborgium,,,,
sedymentacja,   ***   ,sedimentation (geology)  sedimentation,,,,
sedymentologia,   ***   ,sedimentology,,,,
sekretny,   ***   ,secret,,,,
sekstant,   ***   ,sextant,,,,
seksuologia,   ***   ,sexology,,,,
selen,   ***   ,selenium,,,,
semantyka,   ***   ,semantics,,,,
sen,   ***   ,sleep,,,,
separator,   ***   ,separator,,,,
ser,   ***   ,cheese,,,,
serbski,   ***   ,Serbian  Serbian,,,,
serce,   ***   ,heart,,,,
serwatka,   ***   ,whey,,,,
serwer,   ***   ,server,,,,
serwetka,   ***   ,napkin,,,,
sfinks,   ***   ,sphinx,,,,
siarka,   ***   ,sulphur,,,,
siarkowodór,   ***   ,hydrogen sulphide,,,,
siatkówka,   ***   ,volleyball,,,,
siedlisko,   ***   ,habitat,,,,
sierota,   ***   ,orphan,,,,
sierpień,   ***   ,August,,,,
sieć drogowa,   ***   ,road network,,,,
sieć gazowa,   ***   ,gas network,,,,
sieć hydrograficzna,   ***   ,hydrographic network,,,,
sieć informacyjna,   ***   ,information network,,,,
sieć kolejowa,   ***   ,railway network,,,,
sieć komputerowa,   ***   ,electronic information network,,,,
sieć monitoringu,   ***   ,monitoring network,,,,
silnik,   ***   ,engine,,,,
simens,   ***   ,siemens,,,,
sinice,   ***   ,blue,green alga  cyanobacteria,,,
skamieniałość,   ***   ,fossil,,,,
skand,   ***   ,scandium,,,,
skarpeta,   ***   ,sock,,,,
skała,   ***   ,rock,,,,
skażenie żywności,   ***   ,food contamination,,,,
sklep,   ***   ,shop,,,,
skorki,   ***   ,earwig,,,,
skorupiaki,   ***   ,crustacean,,,,
skorupowce,   ***   ,shellfish  shellfish,,,,
skracać,   ***   ,abridge,,,,
skrobia,   ***   ,starch,,,,
skrót,   ***   ,abbreviation,,,,
skóra,   ***   ,skin,,,,
smacznego,   ***   ,enjoy your meal  have a nice meal,,,,
smar,   ***   ,lubricant,,,,
smog,   ***   ,smog,,,,
sobota,   ***   ,Saturday,,,,
socjolingwistyka,   ***   ,sociolinguistics  sociology of language,,,,
socjologia,   ***   ,sociology,,,,
soczewica,   ***   ,lentil,,,,
soczewka,   ***   ,lens,,,,
sorpcja,   ***   ,sorption,,,,
sosna,   ***   ,pine,,,,
spadochron,   ***   ,parachute,,,,
spawanie,   ***   ,welding,,,,
spedytor,   ***   ,forwarding agent,,,,
spodnie,   ***   ,trousers,,,,
spoiwo,   ***   ,adhesive,,,,
spopielenie,   ***   ,incineration,,,,
sport,   ***   ,sport,,,,
społeczeństwo,   ***   ,public,,,,
społeczeństwo,   ***   ,society,,,,
społeczno,   ***   ,gospodarcze aspekt osadnictwa,socioeconomic aspect of human settlements,,,
sprawdzenie,   ***   ,inspection,,,,
sprzeciw,   ***   ,objection,,,,
sprzedawać,   ***   ,sell,,,,
sprężarka,   ***   ,compressor,,,,
spłukiwanie,   ***   ,flushing,,,,
srebro,   ***   ,silver,,,,
ssak,   ***   ,mammal,,,,
stacja,   ***   ,station,,,,
stal,   ***   ,steel,,,,
stan,   ***   ,country  nation  state,,,,
stanowisko,   ***   ,occupational status,,,,
statek,   ***   ,ship,,,,
statystyka,   ***   ,statistics,,,,
statystyka środowiska,   ***   ,environmental statistics,,,,
staw,   ***   ,joint  articulation,,,,
stawonogi,   ***   ,arthropod,,,,
steroid,   ***   ,steroid,,,,
sterylizacja,   ***   ,sterilisation,,,,
sto,   ***   ,hundred,,,,
stok,   ***   ,slope,,,,
stolica,   ***   ,capital,,,,
stop,   ***   ,alloy,,,,
stowarzyszenie,   ***   ,association,,,,
strata,   ***   ,loss,,,,
straż pożarna,   ***   ,fire service,,,,
strażak,   ***   ,firefighter  fireman  firewoman  fire fighter  fire,eater,,,
stres,   ***   ,stress,,,,
strona,   ***   ,page,,,,
stront,   ***   ,strontium,,,,
strumień zanieczyszczeń,   ***   ,pollutant flow,,,,
strumyk,   ***   ,brook,,,,
strunowce,   ***   ,chordate,,,,
struś,   ***   ,ostrich,,,,
strych,   ***   ,attic,,,,
strzała,   ***   ,arrow,,,,
strzykawka,   ***   ,syringe,,,,
strój,   ***   ,attire,,,,
strącanie,   ***   ,precipitation  precipitation (chemical),,,,
studnia,   ***   ,well,,,,
styczeń,   ***   ,January,,,,
styl życia,   ***   ,lifestyle,,,,
stół,   ***   ,table,,,,
stężenie,   ***   ,concentration,,,,
suahili,   ***   ,Swahili,,,,
substancja łatwopalna,   ***   ,inflammable substance,,,,
sucha  depozycja,   ***   ,dry deposition,,,,
suchy,   ***   ,dry,,,,
sukienka,   ***   ,dress,,,,
supermarket,   ***   ,supermarket,,,,
surowiec,   ***   ,raw material,,,,
susza,   ***   ,drought,,,,
suszenie,   ***   ,drying,,,,
sycylijski,   ***   ,Sicilian  Sicilian,,,,
syfilis,   ***   ,syphilis,,,,
symbioza,   ***   ,symbiosis,,,,
symfonia,   ***   ,symphony,,,,
symulacja,   ***   ,simulation,,,,
synagoga,   ***   ,synagogue,,,,
syndrom,   ***   ,syndrome,,,,
synekologia,   ***   ,synecology,,,,
szachy,   ***   ,chess,,,,
szafir,   ***   ,sapphire,,,,
szakal,   ***   ,jackal,,,,
szampan,   ***   ,champagne,,,,
szarańcza,   ***   ,locust,,,,
szczepienie,   ***   ,vaccination,,,,
szczękoczułkowce,   ***   ,chelicerate,,,,
szerokość geograficzna,   ***   ,latitude,,,,
szkielet,   ***   ,skeleton,,,,
szkoda,   ***   ,damage,,,,
szkodnik,   ***   ,pest,,,,
szkolenie,   ***   ,training,,,,
szkoła,   ***   ,school,,,,
szkółka,   ***   ,nursery (plant breeding)  nursery  plant nursery,,,,
szkło,   ***   ,glass,,,,
szmaty,   ***   ,rag,,,,
szminka,   ***   ,lipstick,,,,
szpinak,   ***   ,spinach,,,,
szpital,   ***   ,hospital  clinic,,,,
szron,   ***   ,frost,,,,
sztuka,   ***   ,art,,,,
szwedzki,   ***   ,Swedish,,,,
szympans,   ***   ,chimpanzee,,,,
szyć,   ***   ,sew,,,,
sód,   ***   ,sodium,,,,
sól,   ***   ,salt,,,,
sąd,   ***   ,court of justice,,,,
sądownictwo,   ***   ,judicial body,,,,
słodki,   ***   ,sweet,,,,
słodzik,   ***   ,sweetener,,,,
słoniowate,   ***   ,proboscidean,,,,
słowacki,   ***   ,Slovak  Slovak,,,,
słoweński,   ***   ,Slovene  Slovenian  Slovenian,,,,
słownik,   ***   ,dictionary,,,,
słownik,   ***   ,vocabulary,,,,
słownik,   ***   ,glossary,,,,
słowo,   ***   ,word,,,,
słuch,   ***   ,hearing,,,,
słuch,   ***   ,hearing system,,,,
słuchać,   ***   ,obey,,,,
słuchać,   ***   ,attend,,,,
służebność,   ***   ,easement,,,,
tagalski,   ***   ,Tagalog,,,,
tajemniczy,   ***   ,mysterious,,,,
tajfun,   ***   ,typhoon,,,,
tajski,   ***   ,Thai  Thai,,,,
tak,   ***   ,aye  yeah  yep  yes,,,,
taksonomia,   ***   ,taxonomy,,,,
tal,   ***   ,thallium,,,,
tama,   ***   ,dyke,,,,
tamilski,   ***   ,Tamil  Tamil,,,,
taniec,   ***   ,dance,,,,
tanina,   ***   ,tannin,,,,
tankowiec,   ***   ,tanker  tanker (ship),,,,
tankowiec,   ***   ,oil tanker,,,,
tantal,   ***   ,tantalum,,,,
tarczyca,   ***   ,thyroid,,,,
tatarski,   ***   ,Tatar  Tatar,,,,
technet,   ***   ,technetium,,,,
technologia,   ***   ,technology,,,,
technologia żywności,   ***   ,food technology,,,,
teledetekcja,   ***   ,remote sensing,,,,
telefon,   ***   ,phone  telephone,,,,
telekomunikacja,   ***   ,telecommunications  telecommunication,,,,
telemetria,   ***   ,telemetry,,,,
telewizja,   ***   ,television,,,,
tellur,   ***   ,tellurium,,,,
telugu,   ***   ,Telugu  Telugu,,,,
temperatura,   ***   ,temperature,,,,
tempo,   ***   ,rate,,,,
teokracja,   ***   ,theocracy,,,,
teologia,   ***   ,theology,,,,
terakota,   ***   ,terracotta  terracotta  terracotta  terra cotta,,,,
terapia,   ***   ,therapy,,,,
teratogen,   ***   ,teratogen,,,,
terb,   ***   ,terbium,,,,
terminologia,   ***   ,terminology,,,,
termity,   ***   ,termite,,,,
termodynamika,   ***   ,thermodynamics,,,,
terrorysta,   ***   ,terrorist,,,,
terroryzm,   ***   ,terrorism,,,,
terytorium,   ***   ,territory,,,,
testosteron,   ***   ,testosterone,,,,
teściowa,   ***   ,mother,in,law  mother in law,,
tkanina,   ***   ,fabric,,,,
tkanka,   ***   ,tissue,,,,
tlen,   ***   ,oxygen,,,,
tlenek,   ***   ,oxide,,,,
toksyczność,   ***   ,toxicity,,,,
toksykologia,   ***   ,toxicology,,,,
toksyna,   ***   ,toxin,,,,
topnienie,   ***   ,melting,,,,
topologia,   ***   ,topology,,,,
tor,   ***   ,thorium,,,,
tor,   ***   ,trajectory,,,,
torf,   ***   ,peat,,,,
tornado,   ***   ,tornado,,,,
torpeda,   ***   ,torpedo,,,,
tradycyjny,   ***   ,traditional,,,,
traktat,   ***   ,treaty,,,,
transpiracja,   ***   ,transpiration,,,,
transport,   ***   ,transport,,,,
transport,   ***   ,transport  transportation,,,,
transport ładunku,   ***   ,freight transport,,,,
transport żywności,   ***   ,food transport,,,,
trawienie,   ***   ,digestion,,,,
trawienie,   ***   ,etching,,,,
trawniki,   ***   ,open lawn,,,,
trawy,   ***   ,grass,,,,
trociny,   ***   ,sawdust,,,,
trofeum,   ***   ,trophy,,,,
trolejbus,   ***   ,trolley bus  trolleybus,,,,
tropiki,   ***   ,tropics  torrid zone,,,,
trucizna,   ***   ,poison,,,,
trudny,   ***   ,difficult,,,,
truskawka,   ***   ,strawberry,,,,
trwałość,   ***   ,persistence,,,,
trygonometria,   ***   ,trigonometry,,,,
tryt,   ***   ,tritium,,,,
trzcina,   ***   ,reed,,,,
trzmiel,   ***   ,bumblebee,,,,
trzustka,   ***   ,pancreas,,,,
trzy,   ***   ,three,,,,
trójkąt,   ***   ,triangle,,,,
trąbka,   ***   ,trumpet,,,,
trądzik,   ***   ,acne,,,,
tsanowczy,   ***   ,assertive,,,,
tul,   ***   ,thulium,,,,
tundra,   ***   ,tundra,,,,
tunel,   ***   ,tunnel,,,,
turbina,   ***   ,turbine,,,,
turecki,   ***   ,Turkish  Turkish,,,,
turystyka,   ***   ,tourism,,,,
tuńczyk,   ***   ,tunafish,,,,
twarz,   ***   ,face,,,,
twierdzić,   ***   ,assert,,,,
twórczość,   ***   ,creativity  inventiveness,,,,
tydzień,   ***   ,week,,,,
tygrys,   ***   ,tiger,,,,
tysiąc,   ***   ,thousand,,,,
tytan,   ***   ,titanium,,,,
tytoń,   ***   ,tobacco,,,,
tęcza,   ***   ,rainbow,,,,
tętnica,   ***   ,artery,,,,
tłumaczenie,   ***   ,translation,,,,
tłumaczyć,   ***   ,translate  interpret,,,,
ubezpieczenie,   ***   ,insurance,,,,
ubierać,   ***   ,attire,,,,
ubierać,   ***   ,dress  clothe,,,,
ubranie,   ***   ,clothing  apparel,,,,
ubóstwo,   ***   ,poverty,,,,
ucho,   ***   ,ear,,,,
uchodźca,   ***   ,refugee,,,,
uczestnictwo,   ***   ,participation,,,,
uczestniczyć,   ***   ,attend,,,,
udział społeczeństwa,   ***   ,public attendance,,,,
ukraiński,   ***   ,Ukrainian  Ukrainian,,,,
ulistnienie,   ***   ,foliage,,,,
umieralność,   ***   ,mortality,,,,
umieralność noworodków,   ***   ,infant mortality,,,,
umowa,   ***   ,contract,,,,
uniwersytet,   ***   ,university  university  academy,,,,
ununbium,   ***   ,ununbium,,,,
ununhexium,   ***   ,ununhexium,,,,
ununoctium,   ***   ,ununoctium,,,,
ununpentium,   ***   ,ununpentium,,,,
ununquadium,   ***   ,ununquadium,,,,
ununseptium,   ***   ,ununseptium,,,,
ununtrium,   ***   ,ununtrium,,,,
upodlenie,   ***   ,abasement,,,,
uprawa,   ***   ,cultivation  tillage,,,,
uprzemysłowienie,   ***   ,industrialisation,,,,
uran,   ***   ,uranium,,,,
uraz,   ***   ,injury,,,,
urbanizacja,   ***   ,urbanisation,,,,
urdu,   ***   ,Urdu  Urdu,,,,
urząd,   ***   ,office,,,,
urządzenie,   ***   ,equipment,,,,
uskok,   ***   ,fault,,,,
ustawa,   ***   ,law,,,,
ustawodawstwo,   ***   ,legislation,,,,
usuwanie,   ***   ,removal,,,,
utleniacz,   ***   ,oxidising agent,,,,
utlenianie,   ***   ,oxidation,,,,
utlenianie,   ***   ,redukcja,oxidation,reduction,,
uważny,   ***   ,attentive,,,,
uzbrojenie,   ***   ,armament,,,,
uzurpować,   ***   ,usurp,,,,
uśmiech,   ***   ,smile,,,,
użytkownik,   ***   ,user,,,,
wakacje,   ***   ,holiday,,,,
walenie,   ***   ,cetacean,,,,
walenie,   ***   ,whale,,,,
walijski,   ***   ,Welsh  Welsh,,,,
waloński,   ***   ,Walloon  Walloon,,,,
waluta,   ***   ,currency,,,,
wampir,   ***   ,vampire,,,,
wanad,   ***   ,vanadium,,,,
wandalizm,   ***   ,vandalism,,,,
wapno,   ***   ,lime,,,,
wapń,   ***   ,calcium,,,,
warga,   ***   ,lip,,,,
wartość graniczna,   ***   ,limit value,,,,
wartość odżywcza żywności,   ***   ,nutritive value of food,,,,
wartość przyrodnicza,   ***   ,natural value,,,,
warunki życia,   ***   ,living condition,,,,
warzywo,   ***   ,vegetable,,,,
ważka,   ***   ,dragonfly,,,,
we śnie,   ***   ,asleep,,,,
wejście,   ***   ,ascent,,,,
wektor,   ***   ,vector,,,,
weteran,   ***   ,veteran,,,,
weterynarz,   ***   ,veterinarian  veterinary,,,,
wełna,   ***   ,wool,,,,
wiatr,   ***   ,wind,,,,
wiatrak,   ***   ,windmill,,,,
widelec,   ***   ,fork,,,,
wiek,   ***   ,age,,,,
wielbłąd,   ***   ,camel,,,,
wiercenia,   ***   ,drilling,,,,
wierzba,   ***   ,willow,,,,
wietnamski,   ***   ,Vietnamese  Vietnamese,,,,
wieś,   ***   ,village,,,,
wiki,   ***   ,wiki,,,,
wilgoć,   ***   ,moisture,,,,
wilk,   ***   ,wolf,,,,
winnica,   ***   ,vineyard,,,,
wino,   ***   ,wine,,,,
wirus,   ***   ,virus,,,,
wirusologia,   ***   ,virology,,,,
witamina,   ***   ,vitamin,,,,
wnuk,   ***   ,grandson,,,,
woda,   ***   ,water,,,,
woda źródlana,   ***   ,spring water,,,,
wododział,   ***   ,watershed,,,,
wodospad,   ***   ,waterfall,,,,
wody,   ***   ,water  body of water,,,,
wody śródlądowe,   ***   ,inland water,,,,
wodór,   ***   ,hydrogen,,,,
wojna,   ***   ,war,,,,
wojna światowa,   ***   ,world war,,,,
wolfram,   ***   ,tungsten,,,,
wolność,   ***   ,freedom,,,,
wolność,   ***   ,freedom  liberty,,,,
wolność słowa,   ***   ,freedom of speech  freedom of speech,,,,
workowate,   ***   ,marsupial,,,,
wrzesień,   ***   ,September,,,,
wrzosowisko,   ***   ,heathland,,,,
wróg,   ***   ,enemy,,,,
wskaźnik,   ***   ,indicator,,,,
wskaźnik środowiskowy,   ***   ,environmental indicator,,,,
współczucie,   ***   ,pity  compassion,,,,
współpraca,   ***   ,co,operation,,,
wtorek,   ***   ,Tuesday,,,,
wulkan,   ***   ,volcano,,,,
wulkanizacja,   ***   ,vulcanisation,,,,
wulkanizm,   ***   ,volcanism,,,,
wybrzeże,   ***   ,coast,,,,
wybuch,   ***   ,explosion,,,,
wyburzanie,   ***   ,demolition business,,,,
wychowanie,   ***   ,upbringing,,,,
wydajność ciepła,   ***   ,power,heat relation,,,
wydajność przepływu,   ***   ,discharge regime,,,,
wydatki,   ***   ,expenditure,,,,
wydma,   ***   ,sand dune,,,,
wydma,   ***   ,dune,,,,
wydobycie,   ***   ,extraction,,,,
wydobycie żwiru,   ***   ,gravel extraction,,,,
wydział oczyszczania,   ***   ,cleansing department,,,,
wyjaławianie,   ***   ,sterilisation,,,,
wykluczenie,   ***   ,foreclosure,,,,
wykonalny,   ***   ,viable  viable  feasible,,,,
wykopywanie,   ***   ,excavation (process)  excavation  earthworks  digging,,,,
wykres,   ***   ,progress line,,,,
wykrywacze,   ***   ,detector,,,,
wykrywanie,   ***   ,detection,,,,
wylesianie,   ***   ,deforestation,,,,
wymieranie,   ***   ,extinction (ecological)  extinction,,,,
wymowa,   ***   ,pronunciation,,,,
wypalanie,   ***   ,firing,,,,
wypas,   ***   ,grazing,,,,
wypełniacz,   ***   ,filling material,,,,
wypoczynek,   ***   ,leisure time,,,,
wypoczynek,   ***   ,recreation,,,,
wyrobisko,   ***   ,excavated hole,,,,
wyrok,   ***   ,judgement (sentence)  sentence  judgement,,,,
wyrok,   ***   ,order,,,,
wyrąb,   ***   ,cutting,,,,
wysiłek,   ***   ,effort  exertion,,,,
wysoki,   ***   ,long,,,,
wysokościowiec,   ***   ,high,rise building,,,
wysokość komina,   ***   ,chimney height,,,,
wyspa,   ***   ,island  isle,,,,
wystąpienie,   ***   ,speech,,,,
wysuszanie,   ***   ,drying out,,,,
wytrawialnia,   ***   ,pickling plant,,,,
wytrzymałość,   ***   ,hardness,,,,
wytwarzanie łączne,   ***   ,cogeneration,,,,
wytłaczanie,   ***   ,pressing,,,,
wywłaszczenie,   ***   ,expropriation,,,,
wyznaczać,   ***   ,assign,,,,
wzbogacenie,   ***   ,enrichment,,,,
wzgórze,   ***   ,hill,,,,
wzniesienie,   ***   ,ascent,,,,
wzorcowanie,   ***   ,calibration,,,,
wątroba,   ***   ,liver,,,,
wąż,   ***   ,snake,,,,
wędkarstwo,   ***   ,angling  fishing  line,fishing,,,
wędkarstwo,   ***   ,fishing,,,,
węgiel,   ***   ,carbon,,,,
węgiel,   ***   ,coal,,,,
węgierski,   ***   ,Hungarian,,,,
węglan,   ***   ,carbonate,,,,
węglowodany,   ***   ,carbohydrate,,,,
